iter	TotalF1	Logloss
0	0.6890424538	0.6841030991
1	0.6908055245	0.6753879058
2	0.693409087	0.667415117
3	0.6931253272	0.6602326042
4	0.6960392438	0.6530186112
5	0.694889576	0.6462067015
6	0.6936454984	0.6400809713
7	0.6965215554	0.6344078879
8	0.6968376467	0.6290226599
9	0.6967897748	0.6242183626
10	0.6964337354	0.6193677198
11	0.6978292992	0.6143530834
12	0.7003433774	0.6099820617
13	0.7024007814	0.6056156197
14	0.703904523	0.601542394
15	0.7047290889	0.5976240793
16	0.7051939532	0.594160769
17	0.7064967761	0.5908021573
18	0.7063804738	0.5875463065
19	0.7067451272	0.5846427796
20	0.7074629544	0.5818677408
21	0.7076807171	0.5792893283
22	0.7077138219	0.5769053716
23	0.7081840682	0.5745781219
24	0.7082655576	0.5725506826
25	0.7085283899	0.5706179442
26	0.7086502588	0.568879474
27	0.709130092	0.5670368191
28	0.7095722219	0.5651835504
29	0.7098471151	0.563597641
30	0.7100813718	0.5620520733
31	0.710361669	0.5605753562
32	0.7104724887	0.559147926
33	0.7108490002	0.557732921
34	0.7108214488	0.5563906524
35	0.7111243853	0.5551838437
36	0.7110448019	0.5540696254
37	0.7113438554	0.5530145923
38	0.711349975	0.5520222331
39	0.7113519662	0.5511866667
40	0.7115530288	0.5503093651
41	0.7117536086	0.5494840199
42	0.7118889476	0.5486529817
43	0.7121007015	0.5478583849
44	0.7121483788	0.5471386777
45	0.7122669295	0.5464097321
46	0.7125154745	0.5456585154
47	0.7125401823	0.5450976435
48	0.7128806632	0.5444650347
49	0.7131043655	0.5438389595
50	0.7131937982	0.5432192136
51	0.7133256345	0.5427255982
52	0.7133435384	0.5422587334
53	0.7136426577	0.5417280414
54	0.7137455255	0.541079119
55	0.7139894973	0.5405958715
56	0.714118683	0.53997092
57	0.7143454718	0.5394037496
58	0.7145564448	0.5389385031
59	0.7145895387	0.5384862769
60	0.7146242218	0.5380720955
61	0.7146875417	0.5377325141
62	0.714694815	0.5373264245
63	0.7148710628	0.5369453152
64	0.7150381715	0.5365679452
65	0.7152854798	0.5361111323
66	0.7152629155	0.535722082
67	0.7153212996	0.5353501101
68	0.7155612889	0.5350155105
69	0.7156845192	0.5346989821
70	0.7158250281	0.534323821
71	0.7158887732	0.5339870521
72	0.7158710403	0.5337169861
73	0.7160879423	0.533393149
74	0.7162479307	0.5330529579
75	0.716560687	0.532773713
76	0.7166718247	0.5325090723
77	0.7166127573	0.5322965866
78	0.7167265555	0.5320044608
79	0.7168404448	0.5317003479
80	0.7169035106	0.5314999953
81	0.7171783606	0.5312542681
82	0.7172124589	0.5310237045
83	0.7173116556	0.5307638008
84	0.7173935283	0.5304935534
85	0.7175401664	0.5302906469
86	0.7176438565	0.5301249316
87	0.7177646875	0.5299023841
88	0.7178050159	0.5297181117
89	0.7179261467	0.5293978266
90	0.718105594	0.5291608662
91	0.7182958204	0.528837315
92	0.718400575	0.528579299
93	0.7185021584	0.5283818638
94	0.7185982034	0.528181406
95	0.7187929155	0.5279885432
96	0.7188765354	0.5277633375
97	0.7189664053	0.527613548
98	0.7190332482	0.5274160725
99	0.7191524135	0.5272615133
100	0.7193462355	0.5270041733
101	0.71938348	0.5268225551
102	0.7194890015	0.5266780556
103	0.7197745767	0.5263700078
104	0.7198187565	0.5261983425
