iter	Passed	Remaining
0	248	248743
1	461	230173
2	650	216307
3	842	209839
4	1044	207776
5	1239	205376
6	1432	203255
7	1621	201049
8	1801	198382
9	1984	196471
10	2173	195382
11	2365	194771
12	2542	193065
13	2724	191889
14	2909	191068
15	3095	190392
16	3275	189402
17	3451	188292
18	3642	188057
19	3815	186965
20	3991	186067
21	4191	186329
22	4379	186045
23	4564	185640
24	4775	186252
25	4999	187275
26	5186	186891
27	5371	186470
28	5560	186177
29	5734	185428
30	5916	184932
31	6104	184656
32	6295	184488
33	6505	184831
34	6693	184561
35	6879	184226
36	7063	183840
37	7243	183375
38	7423	182931
39	7611	182666
40	7799	182437
41	7986	182171
42	8171	181856
43	8353	181505
44	8528	180995
45	8710	180652
46	8899	180461
47	9078	180053
48	9263	179795
49	9453	179616
50	9645	179482
51	9823	179082
52	10009	178841
53	10190	178528
54	10382	178392
55	10560	178013
56	10752	177894
57	10942	177714
58	11121	177373
59	11301	177054
60	11495	176962
61	11698	176986
62	11879	176683
63	12051	176249
64	12241	176084
65	12429	175893
66	12606	175555
67	12805	175512
68	12994	175334
69	13177	175073
70	13353	174726
71	13545	174588
72	13724	174285
73	13914	174121
74	14106	173983
75	14289	173727
76	14473	173492
77	14667	173379
78	14858	173218
79	15054	173131
80	15235	172857
81	15413	172559
82	15606	172419
83	15808	172390
84	15987	172099
85	16167	171827
86	16360	171691
87	16563	171656
88	16755	171508
89	16935	171236
90	17134	171153
91	17328	171021
92	17519	170866
93	17707	170668
94	17888	170411
95	18072	170187
96	18271	170094
97	18447	169792
98	18633	169583
99	18841	169569
100	19034	169424
101	19218	169195
102	19407	169014
103	19594	168814
104	19789	168679
105	19978	168494
106	20174	168371
107	20389	168400
108	20599	168383
109	20778	168116
110	20965	167909
111	21155	167734
112	21353	167618
113	21541	167418
114	21747	167363
115	21953	167298
116	22148	167151
117	22330	166909
118	22523	166752
119	22707	166520
120	22910	166428
121	23100	166245
122	23283	166013
123	23496	165989
124	23687	165811
125	23892	165728
126	24087	165579
127	24270	165340
128	24477	165268
129	24692	165251
130	24892	165129
131	25087	164972
132	25294	164891
133	25499	164794
134	25695	164639
135	25895	164511
136	26086	164323
137	26286	164198
138	26510	164213
139	26729	164197
140	26929	164059
141	27129	163920
142	27314	163698
143	27505	163502
144	27676	163195
145	27862	162975
146	28071	162889
147	28268	162734
148	28468	162593
149	28681	162531
150	28865	162297
151	29105	162376
152	29308	162250
153	29515	162145
154	29755	162216
155	30023	162432
156	30253	162443
157	30497	162523
158	30717	162474
159	30945	162462
160	31095	162043
161	31286	161839
162	31505	161778
163	31721	161704
164	31887	161370
165	32094	161244
166	32287	161052
167	32481	160862
168	32662	160608
169	32845	160363
170	33026	160112
171	33209	159867
172	33407	159700
173	33600	159506
174	33795	159322
175	34007	159216
176	34211	159074
177	34413	158918
178	34618	158779
179	34813	158596
180	35007	158404
181	35217	158284
182	35416	158115
183	35630	158015
184	35851	157938
185	36066	157838
186	36288	157767
187	36486	157589
188	36666	157334
189	36857	157131
190	37060	156973
191	37251	156766
192	37412	156432
193	37593	156186
194	37793	156020
195	37976	155779
196	38174	155605
197	38366	155404
198	38545	155149
199	38743	154972
200	38937	154780
201	39113	154515
202	39309	154334
203	39488	154083
204	39689	153919
205	39874	153689
206	40072	153514
207	40259	153294
208	40446	153077
209	40623	152821
210	40812	152613
211	40995	152379
212	41174	152133
213	41382	151993
214	41569	151777
215	41743	151513
216	41944	151349
217	42130	151128
218	42319	150918
219	42521	150759
220	42725	150603
221	42912	150388
222	43100	150173
223	43302	150013
224	43504	149847
225	43682	149601
226	43887	149447
227	44082	149262
228	44272	149055
229	44461	148849
230	44654	148656
231	44838	148429
232	45004	148147
233	45186	147918
234	45373	147706
235	45587	147578
236	45784	147400
237	45990	147245
238	46187	147066
239	46385	146886
240	46567	146659
241	46766	146483
242	46962	146299
243	47165	146136
244	47393	146047
245	47601	145901
246	47786	145682
247	47957	145420
248	48152	145231
249	48352	145056
250	48544	144858
251	48737	144664
252	48915	144425
253	49120	144267
254	49308	144058
255	49487	143823
256	49690	143656
257	49881	143458
258	50072	143256
259	50257	143041
260	50456	142864
261	50658	142695
262	50881	142584
263	51112	142494
264	51300	142285
265	51501	142113
266	51679	141875
267	51863	141657
268	52055	141459
269	52236	141232
270	52430	141039
271	52629	140861
272	52818	140655
273	53014	140468
274	53222	140314
275	53435	140171
276	53640	140006
277	53821	139780
278	54017	139594
279	54213	139406
280	54409	139217
281	54612	139047
282	54803	138847
283	54995	138650
284	55185	138447
285	55367	138224
286	55556	138021
287	55759	137848
288	55924	137584
289	56100	137348
290	56287	137141
291	56480	136946
292	56663	136727
293	56862	136546
294	57056	136355
295	57232	136121
296	57437	135953
297	57616	135727
298	57799	135509
299	58004	135344
300	58203	135163
301	58399	134975
302	58598	134795
303	58807	134638
304	58998	134438
305	59196	134255
306	59403	134093
307	59611	133932
308	59809	133748
309	60002	133552
310	60188	133344
311	60382	133150
312	60551	132903
313	60751	132724
314	60943	132528
315	61150	132363
316	61338	132158
317	61539	131980
318	61739	131800
319	61973	131693
320	62168	131502
321	62371	131327
322	62574	131154
323	62784	130994
324	62983	130811
325	63191	130647
326	63362	130405
327	63574	130250
328	63789	130100
329	63990	129919
330	64175	129708
331	64369	129514
332	64580	129355
333	64763	129139
334	64950	128930
335	65121	128693
336	65325	128518
337	65516	128320
338	65707	128119
339	65886	127897
340	66076	127696
341	66280	127522
342	66486	127352
343	66701	127197
344	66875	126967
345	67071	126777
346	67266	126584
347	67454	126381
348	67634	126160
349	67830	125970
350	68011	125752
351	68203	125557
352	68401	125371
353	68602	125189
354	68801	125005
355	68979	124782
356	69187	124614
357	69355	124374
358	69550	124182
359	69749	123999
360	69925	123773
361	70121	123584
362	70314	123389
363	70512	123202
364	70701	123000
365	70902	122820
366	71098	122629
367	71308	122465
368	71496	122261
369	71682	122053
370	71879	121866
371	72061	121652
372	72250	121449
373	72430	121233
374	72635	121059
375	72837	120878
376	73038	120697
377	73233	120506
378	73424	120307
379	73612	120104
380	73809	119916
381	73988	119698
382	74171	119487
383	74377	119314
384	74578	119131
385	74746	118897
386	74937	118700
387	75124	118495
388	75302	118277
389	75500	118089
390	75693	117895
391	75869	117675
392	76069	117491
393	76292	117343
394	76498	117169
395	76699	116986
396	76904	116808
397	77094	116610
398	77287	116415
399	77485	116228
400	77678	116033
401	77874	115843
402	78081	115669
403	78264	115459
404	78463	115273
405	78658	115082
406	78854	114891
407	79044	114692
408	79229	114485
409	79409	114272
410	79611	114089
411	79803	113894
412	80006	113713
413	80191	113507
414	80392	113323
415	80577	113118
416	80770	112923
417	80968	112736
418	81165	112546
419	81359	112353
420	81546	112150
421	81735	111951
422	81934	111764
423	82145	111593
424	82303	111352
425	82495	111155
426	82697	110973
427	82886	110773
428	83081	110581
429	83278	110392
430	83485	110216
431	83668	110008
432	83836	109781
433	84022	109578
434	84204	109368
435	84410	109191
436	84597	108989
437	84780	108781
438	84971	108585
439	85166	108393
440	85349	108186
441	85546	107997
442	85739	107803
443	85940	107618
444	86136	107429
445	86326	107231
446	86524	107042
447	86724	106857
448	86932	106681
449	87131	106494
450	87315	106288
451	87506	106092
452	87699	105897
453	87898	105710
454	88084	105508
455	88281	105317
456	88465	105112
457	88659	104920
458	88838	104709
459	89029	104513
460	89223	104319
461	89418	104128
462	89601	103922
463	89793	103726
464	89994	103541
465	90186	103346
466	90382	103155
467	90568	102953
468	90751	102748
469	90959	102571
470	91179	102407
471	91385	102228
472	91597	102054
473	91806	101878
474	92007	101692
475	92213	101512
476	92420	101332
477	92631	101158
478	92848	100989
479	93047	100801
480	93255	100622
481	93420	100397
482	93628	100219
483	93834	100038
484	94007	99822
485	94197	99624
486	94391	99430
487	94588	99240
488	94773	99037
489	94962	98838
490	95151	98639
491	95350	98450
492	95535	98248
493	95737	98063
494	95917	97855
495	96116	97666
496	96306	97469
497	96516	97292
498	96710	97097
499	96900	96900
500	97095	96707
501	97269	96494
502	97443	96281
503	97623	96073
504	97807	95870
505	97995	95671
506	98191	95480
507	98375	95276
508	98566	95080
509	98766	94892
510	98956	94695
511	99145	94498
512	99336	94301
513	99523	94102
514	99720	93911
515	99904	93708
516	100106	93523
517	100293	93323
518	100495	93137
519	100704	92957
520	100885	92752
521	101052	92534
522	101242	92337
523	101436	92144
524	101625	91947
525	101824	91757
526	102019	91565
527	102191	91353
528	102363	91140
529	102553	90943
530	102745	90749
531	102925	90543
532	103126	90357
533	103326	90168
534	103531	89985
535	103730	89796
536	103919	89599
537	104119	89411
538	104334	89235
539	104502	89020
540	104712	88840
541	104905	88646
542	105100	88454
543	105271	88241
544	105474	88056
545	105667	87862
546	105861	87669
547	106067	87486
548	106279	87307
549	106476	87116
550	106644	86902
551	106843	86713
552	107017	86504
553	107224	86321
554	107413	86124
555	107572	85903
556	107765	85709
557	107943	85503
558	108137	85310
559	108332	85118
560	108526	84925
561	108727	84737
562	108927	84549
563	109114	84351
564	109300	84151
565	109493	83958
566	109692	83768
567	109889	83577
568	110080	83382
569	110275	83190
570	110455	82986
571	110628	82778
572	110825	82587
573	111021	82395
574	111216	82203
575	111407	82008
576	111604	81817
577	111792	81620
578	111996	81434
579	112203	81251
580	112386	81049
581	112579	80855
582	112778	80666
583	112971	80472
584	113163	80278
585	113346	80077
586	113534	79880
587	113743	79697
588	113940	79506
589	114131	79311
590	114338	79127
591	114537	78938
592	114735	78747
593	114929	78554
594	115129	78365
595	115326	78174
596	115513	77976
597	115709	77784
598	115891	77583
599	116090	77393
600	116257	77182
601	116430	76975
602	116643	76795
603	116828	76596
604	117034	76410
605	117228	76217
606	117403	76012
607	117612	75829
608	117807	75636
609	117996	75440
610	118189	75246
611	118377	75049
612	118557	74847
613	118755	74657
614	118948	74463
615	119139	74268
616	119324	74070
617	119511	73873
618	119706	73680
619	119890	73481
620	120095	73294
621	120286	73100
622	120472	72902
623	120645	72696
624	120837	72502
625	121021	72303
626	121223	72115
627	121418	71923
628	121616	71732
629	121796	71531
630	121988	71336
631	122193	71150
632	122375	70950
633	122558	70751
634	122743	70553
635	122942	70363
636	123131	70167
637	123328	69976
638	123526	69785
639	123728	69597
640	123902	69393
641	124093	69198
642	124307	69016
643	124486	68815
644	124678	68621
645	124867	68425
646	125070	68238
647	125250	68037
648	125451	67847
649	125617	67640
650	125807	67444
651	126013	67258
652	126215	67069
653	126408	66876
654	126609	66687
655	126820	66503
656	127027	66317
657	127206	66116
658	127378	65911
659	127572	65719
660	127767	65526
661	127960	65333
662	128161	65143
663	128350	64948
664	128545	64755
665	128742	64564
666	128930	64368
667	129130	64178
668	129321	63984
669	129523	63794
670	129722	63604
671	129920	63413
672	130122	63224
673	130330	63038
674	130527	62846
675	130707	62646
676	130907	62456
677	131111	62268
678	131301	62073
679	131472	61869
680	131674	61680
681	131870	61487
682	132058	61292
683	132232	61089
684	132429	60898
685	132634	60710
686	132833	60519
687	133034	60329
688	133220	60133
689	133415	59940
690	133586	59737
691	133782	59545
692	133975	59351
693	134181	59163
694	134367	58966
695	134541	58765
696	134745	58576
697	134946	58386
698	135139	58193
699	135321	57994
700	135520	57804
701	135703	57606
702	135899	57414
703	136099	57223
704	136293	57030
705	136491	56839
706	136698	56651
707	136895	56459
708	137087	56265
709	137275	56070
710	137470	55877
711	137670	55687
712	137841	55484
713	138037	55292
714	138226	55097
715	138419	54903
716	138621	54713
717	138814	54520
718	139016	54330
719	139225	54143
720	139435	53956
721	139639	53767
722	139830	53572
723	140034	53383
724	140214	53184
725	140411	52992
726	140623	52806
727	140829	52617
728	141023	52424
729	141223	52233
730	141407	52036
731	141609	51846
732	141811	51655
733	142022	51468
734	142248	51286
735	142430	51089
736	142627	50897
737	142827	50705
738	143034	50516
739	143233	50325
740	143438	50135
741	143640	49944
742	143841	49754
743	144042	49563
744	144244	49372
745	144445	49181
746	144621	48981
747	144813	48787
748	145012	48595
749	145219	48406
750	145412	48212
751	145605	48018
752	145788	47821
753	145979	47627
754	146164	47430
755	146343	47232
756	146509	47030
757	146703	46836
758	146904	46645
759	147074	46444
760	147258	46247
761	147453	46054
762	147652	45863
763	147854	45672
764	148036	45475
765	148234	45283
766	148412	45084
767	148613	44893
768	148796	44697
769	148993	44504
770	149193	44313
771	149403	44124
772	149591	43929
773	149776	43733
774	149973	43540
775	150169	43347
776	150359	43153
777	150559	42961
778	150736	42763
779	150930	42570
780	151142	42381
781	151336	42188
782	151528	41994
783	151700	41794
784	151902	41603
785	152102	41412
786	152299	41219
787	152488	41024
788	152680	40830
789	152877	40638
790	153082	40447
791	153287	40257
792	153479	40063
793	153654	39865
794	153840	39669
795	154060	39482
796	154278	39295
797	154476	39103
798	154684	38913
799	154888	38722
800	155108	38534
801	155326	38347
802	155536	38157
803	155729	37963
804	155883	37760
805	156099	37572
806	156307	37382
807	156480	37183
808	156689	36993
809	156841	36789
810	157030	36595
811	157222	36401
812	157419	36208
813	157613	36014
814	157761	35810
815	157965	35619
816	158156	35425
817	158350	35232
818	158525	35034
819	158702	34837
820	158887	34641
821	159079	34447
822	159229	34245
823	159434	34054
824	159598	33854
825	159796	33661
826	159989	33468
827	160173	33272
828	160348	33075
829	160545	32882
830	160738	32689
831	160927	32495
832	161141	32305
833	161348	32114
834	161526	31918
835	161716	31724
836	161923	31533
837	162097	31336
838	162311	31146
839	162517	30955
840	162706	30761
841	162909	30569
842	163092	30374
843	163299	30183
844	163487	29988
845	163680	29795
846	163884	29603
847	164066	29408
848	164264	29215
849	164452	29021
850	164656	28829
851	164855	28636
852	165018	28438
853	165217	28245
854	165412	28052
855	165616	27860
856	165809	27667
857	165947	27464
858	166156	27273
859	166352	27080
860	166521	26883
861	166713	26689
862	166917	26497
863	167117	26305
864	167323	26114
865	167494	25917
866	167689	25724
867	167876	25529
868	168074	25336
869	168262	25142
870	168461	24950
871	168643	24754
872	168821	24559
873	169016	24366
874	169221	24174
875	169416	23981
876	169619	23789
877	169806	23595
878	170010	23403
879	170201	23209
880	170391	23015
881	170562	22819
882	170763	22626
883	170963	22434
884	171159	22241
885	171357	22048
886	171504	21848
887	171700	21655
888	171886	21461
889	172068	21266
890	172259	21073
891	172457	20880
892	172662	20688
893	172839	20493
894	173038	20300
895	173239	20108
896	173410	19912
897	173588	19717
898	173780	19523
899	173989	19332
900	174186	19139
901	174397	18947
902	174579	18753
903	174732	18555
904	174927	18362
905	175112	18168
906	175294	17973
907	175466	17778
908	175674	17586
909	175857	17392
910	176044	17198
911	176235	17005
912	176426	16811
913	176624	16618
914	176803	16424
915	177001	16231
916	177193	16038
917	177399	15846
918	177614	15654
919	177788	15459
920	177959	15264
921	178147	15071
922	178332	14877
923	178508	14682
924	178687	14488
925	178895	14296
926	179091	14103
927	179294	13910
928	179491	13717
929	179690	13525
930	179889	13332
931	180087	13139
932	180293	12947
933	180491	12754
934	180695	12561
935	180895	12368
936	181080	12175
937	181265	11981
938	181450	11787
939	181638	11593
940	181821	11400
941	182027	11207
942	182207	11013
943	182403	10820
944	182607	10627
945	182791	10434
946	182978	10240
947	183178	10047
948	183382	9855
949	183588	9662
950	183787	9469
951	183986	9276
952	184190	9083
953	184358	8889
954	184551	8696
955	184734	8502
956	184935	8309
957	185127	8116
958	185328	7923
959	185529	7730
960	185720	7537
961	185922	7344
962	186096	7150
963	186287	6956
964	186476	6763
965	186681	6570
966	186871	6377
967	187068	6184
968	187254	5990
969	187455	5797
970	187641	5604
971	187832	5410
972	188030	5217
973	188233	5024
974	188418	4831
975	188605	4637
976	188813	4444
977	189006	4251
978	189200	4058
979	189388	3865
980	189562	3671
981	189756	3478
982	189910	3284
983	190112	3091
984	190308	2898
985	190499	2704
986	190698	2511
987	190895	2318
988	191069	2125
989	191259	1931
990	191458	1738
991	191664	1545
992	191865	1352
993	192071	1159
994	192269	966
995	192457	772
996	192663	579
997	192857	386
998	193057	193
999	193252	0
