iter	Passed	Remaining
428	1745	2322
429	1747	2317
430	1750	2310
431	1752	2304
432	1761	2306
433	1766	2304
434	1771	2301
435	1774	2295
436	1776	2289
437	1778	2282
438	1783	2278
439	1792	2280
440	1795	2276
441	1799	2271
442	1803	2267
443	1806	2261
444	1816	2265
445	1820	2261
446	1823	2255
447	1826	2251
448	1829	2245
449	1841	2250
450	1845	2246
451	1850	2242
452	1852	2237
453	1855	2231
454	1860	2228
455	1869	2230
456	1873	2225
457	1875	2220
458	1878	2214
459	1882	2210
460	1885	2203
461	1887	2197
462	1890	2192
463	1892	2186
464	1894	2179
465	1896	2173
466	1898	2167
467	1901	2161
468	1903	2155
469	1909	2153
470	1916	2152
471	1920	2148
472	1923	2142
473	1925	2136
474	1927	2130
475	1929	2124
476	1939	2126
477	1943	2122
478	1946	2117
479	1949	2111
480	1951	2105
481	1953	2099
482	1955	2093
483	1958	2088
484	1966	2088
485	1970	2083
486	1972	2078
487	1975	2072
488	1977	2066
489	1979	2060
490	1984	2057
491	1991	2056
492	1994	2051
493	1997	2045
494	1999	2040
495	2001	2034
496	2003	2027
497	2005	2021
498	2014	2022
499	2018	2018
500	2020	2012
501	2023	2007
502	2025	2001
503	2027	1994
504	2032	1992
505	2038	1990
506	2041	1985
507	2044	1980
508	2046	1974
509	2048	1968
510	2050	1962
511	2053	1957
512	2061	1957
513	2065	1953
514	2068	1947
515	2070	1942
516	2072	1936
517	2074	1930
518	2077	1925
519	2086	1925
520	2089	1921
521	2092	1916
522	2094	1910
523	2096	1904
524	2098	1898
525	2100	1892
526	2110	1894
527	2113	1889
528	2116	1884
529	2118	1879
530	2120	1873
531	2122	1867
532	2124	1861
533	2127	1856
534	2136	1857
535	2140	1852
536	2143	1847
537	2145	1842
538	2147	1836
539	2149	1831
540	2151	1825
541	2156	1822
542	2163	1820
543	2166	1815
544	2168	1810
545	2171	1805
546	2173	1799
547	2175	1794
548	2179	1790
549	2186	1789
550	2189	1784
551	2192	1779
552	2194	1774
553	2196	1768
554	2198	1762
555	2200	1757
556	2210	1758
557	2214	1754
558	2217	1749
559	2220	1744
560	2222	1739
561	2225	1734
562	2227	1729
563	2238	1730
564	2242	1726
565	2245	1721
566	2248	1717
567	2251	1712
568	2253	1707
569	2269	1711
570	2271	1706
571	2274	1701
572	2276	1696
573	2278	1690
574	2280	1685
575	2289	1685
576	2293	1681
577	2296	1676
578	2298	1671
579	2300	1665
580	2302	1660
581	2304	1655
582	2309	1652
583	2316	1650
584	2320	1645
585	2322	1641
586	2325	1635
587	2327	1630
588	2329	1625
589	2332	1620
590	2340	1619
591	2343	1615
592	2346	1610
593	2348	1605
594	2350	1600
595	2352	1594
596	2355	1589
597	2363	1589
598	2367	1584
599	2371	1580
600	2373	1575
601	2375	1570
602	2378	1565
603	2383	1562
604	2392	1561
605	2395	1557
606	2398	1552
607	2400	1547
608	2402	1542
609	2405	1538
610	2416	1538
611	2419	1533
612	2421	1529
613	2424	1524
614	2426	1519
615	2428	1514
616	2430	1508
617	2434	1504
618	2443	1503
619	2446	1499
620	2448	1494
621	2451	1489
622	2453	1484
623	2455	1479
624	2457	1474
625	2466	1473
626	2469	1469
627	2472	1464
628	2474	1459
629	2476	1454
630	2478	1449
631	2480	1444
632	2484	1440
633	2493	1439
634	2496	1435
635	2499	1430
636	2501	1425
637	2503	1420
638	2505	1415
639	2507	1410
640	2512	1407
641	2520	1405
642	2523	1401
643	2526	1396
644	2528	1391
645	2530	1386
646	2532	1381
647	2535	1377
648	2543	1375
649	2547	1371
650	2550	1367
651	2552	1362
652	2554	1357
653	2556	1352
654	2560	1348
655	2569	1347
656	2572	1342
657	2574	1338
658	2577	1333
659	2579	1328
660	2581	1323
661	2586	1320
662	2594	1318
663	2598	1315
664	2601	1310
665	2603	1305
666	2605	1300
667	2607	1295
668	2609	1290
669	2619	1290
670	2623	1286
671	2626	1281
672	2628	1277
673	2630	1272
674	2632	1267
675	2634	1262
676	2644	1261
677	2648	1257
678	2651	1253
679	2653	1248
680	2655	1244
681	2657	1239
682	2660	1234
683	2663	1230
684	2672	1228
685	2676	1224
686	2679	1220
687	2682	1216
688	2684	1211
689	2686	1206
690	2694	1204
691	2700	1201
692	2703	1197
693	2705	1193
694	2707	1188
695	2709	1183
696	2711	1178
697	2713	1174
698	2723	1172
699	2726	1168
700	2729	1164
701	2733	1160
702	2735	1155
703	2737	1150
704	2741	1147
705	2751	1145
706	2754	1141
707	2757	1137
708	2760	1133
709	2763	1128
710	2766	1124
711	2777	1123
712	2780	1119
