iter	RMSE
132	1.696160603
133	1.689863256
134	1.683587788
135	1.677352198
136	1.671389053
137	1.665573813
138	1.659451451
139	1.653103594
140	1.647438546
141	1.641304811
142	1.635770373
143	1.629974185
144	1.624030112
145	1.618652016
146	1.612662395
147	1.606896404
148	1.601346626
149	1.595859039
150	1.59029991
151	1.584931367
152	1.579301794
153	1.574346778
154	1.569110214
155	1.563984529
156	1.558815584
157	1.553762643
158	1.548823761
159	1.543465662
160	1.538423069
161	1.533496724
162	1.528468917
163	1.52366095
164	1.518563368
165	1.513880285
166	1.509179443
167	1.504390849
168	1.499504717
169	1.494779896
170	1.490360544
171	1.48605482
172	1.48154722
173	1.476896242
174	1.47255153
175	1.468183365
176	1.46415684
177	1.459811916
178	1.455692625
179	1.451652797
180	1.447608811
181	1.444008021
182	1.43983426
183	1.435781147
184	1.431767843
185	1.42813711
186	1.424095585
187	1.420834692
188	1.416912278
189	1.412922789
190	1.409318671
191	1.405540902
192	1.402072317
193	1.398507266
194	1.394755642
195	1.391162066
196	1.387719353
197	1.38395008
198	1.380732782
199	1.37734126
200	1.373951823
201	1.37027511
202	1.366897321
203	1.363676871
204	1.360482863
205	1.357170437
206	1.353897796
207	1.350975693
208	1.347565667
209	1.344395975
210	1.34115961
211	1.337995461
212	1.335213373
213	1.332219043
214	1.329325136
215	1.326320771
216	1.323459006
217	1.320467277
218	1.317410052
219	1.314586394
220	1.311989344
221	1.309185207
222	1.306369243
223	1.303480442
224	1.300845132
225	1.297995816
226	1.295165417
227	1.292263839
228	1.289677868
229	1.287280025
230	1.285004492
231	1.282413245
232	1.279638692
233	1.277248175
234	1.274823515
235	1.272446628
236	1.269984588
237	1.267542377
238	1.265021327
239	1.262935956
240	1.260425492
241	1.258083601
242	1.255653235
243	1.25361196
244	1.251254043
245	1.249348358
246	1.246995015
247	1.244719479
248	1.242397381
249	1.240269768
250	1.238115092
251	1.23604373
252	1.233720816
253	1.231419837
254	1.229475721
255	1.227343368
256	1.225217492
257	1.223046332
258	1.22116333
259	1.219131846
260	1.217329679
261	1.215355021
262	1.213642384
263	1.2118037
264	1.209906881
265	1.207985564
266	1.2061672
267	1.204420586
268	1.202512366
269	1.200834184
270	1.199085589
271	1.197186902
272	1.195648114
273	1.194002618
274	1.192323631
275	1.190511547
276	1.188812495
277	1.186993995
278	1.185243636
279	1.183578718
280	1.181795102
281	1.180075964
282	1.178641174
283	1.176967156
284	1.175365694
285	1.1738715
286	1.172312436
287	1.170760361
288	1.169201349
289	1.167623189
290	1.166171646
291	1.164749632
292	1.163282683
293	1.161810947
294	1.160253828
295	1.159109922
296	1.157928511
297	1.156695929
298	1.155353894
299	1.153911137
300	1.152616954
301	1.15138437
302	1.15006497
303	1.148682446
304	1.147329398
305	1.146025389
306	1.144687331
307	1.143364503
308	1.142030874
309	1.140767582
310	1.1396038
311	1.138379501
312	1.137100809
313	1.135728732
314	1.134478275
315	1.133416363
316	1.132313833
317	1.131111429
318	1.129951867
319	1.128571291
320	1.1273438
321	1.126267098
322	1.125197988
323	1.124013595
324	1.122817538
325	1.121687615
326	1.120762021
327	1.119680224
328	1.118699483
329	1.117811457
330	1.116746872
331	1.115782017
332	1.114755009
333	1.113775153
334	1.112677951
335	1.111757082
336	1.110721808
337	1.109679876
338	1.108918963
339	1.108034468
340	1.106991986
341	1.10605339
342	1.105233639
343	1.104397553
344	1.103670035
345	1.102788403
346	1.102000788
347	1.101057899
348	1.100222317
349	1.099307037
350	1.098565793
351	1.097735387
352	1.09694208
353	1.096283042
354	1.095515397
355	1.094702605
356	1.093920245
357	1.093200394
358	1.092451037
359	1.09175008
360	1.091099761
361	1.090224378
362	1.089397735
363	1.088571469
364	1.087725215
365	1.086950189
366	1.086395417
367	1.085563832
368	1.084871881
369	1.084152006
370	1.083307739
371	1.082547404
372	1.081944028
373	1.081378702
374	1.080722891
375	1.080108838
376	1.079331169
377	1.078649016
378	1.077970686
379	1.077186084
380	1.076507894
381	1.075866503
382	1.07527403
383	1.074605098
384	1.074078233
385	1.073568177
386	1.072859475
387	1.072214737
388	1.071574929
389	1.07085238
390	1.070255172
391	1.069561501
392	1.068969403
393	1.068339612
394	1.067708983
395	1.067189117
396	1.066652548
397	1.066033842
398	1.065402936
399	1.064747324
400	1.064186761
401	1.063613324
402	1.063090447
403	1.062562233
404	1.062034979
405	1.061558489
406	1.061040594
407	1.060560809
408	1.059991864
409	1.059462792
410	1.0589081
411	1.058391498
412	1.057867441
413	1.057467309
414	1.056935668
415	1.056371359
416	1.055882611
417	1.055317584
418	1.054745229
419	1.054214366
420	1.053727716
421	1.053277817
422	1.052764087
423	1.052310921
424	1.051961245
425	1.051562119
426	1.051098441
427	1.050653111
428	1.050125012
429	1.049680334
430	1.049195304
431	1.048866817
432	1.04832389
433	1.047783777
434	1.04741342
435	1.04691403
436	1.04653192
437	1.046164736
438	1.045736686
439	1.045265189
440	1.044805907
441	1.044491265
442	1.044077876
443	1.043634175
444	1.043198169
445	1.042908734
446	1.04253894
447	1.042222253
448	1.041915963
449	1.041546731
450	1.041154671
451	1.040756663
452	1.040354983
453	1.039996292
454	1.039603032
455	1.039297286
456	1.03884578
457	1.03855614
458	1.03814356
459	1.037825693
460	1.037380927
461	1.036996937
462	1.036627331
463	1.036249322
464	1.035887005
465	1.035594791
466	1.035224311
467	1.034859585
468	1.034449841
469	1.034159079
470	1.033799613
471	1.0335084
472	1.033140155
473	1.032852098
474	1.032554065
475	1.0321999
476	1.031856292
477	1.031561624
478	1.031284443
479	1.030947635
480	1.030680652
481	1.030405522
482	1.030145666
483	1.029866845
484	1.029496505
485	1.029150844
486	1.028805608
487	1.028502248
488	1.028199912
489	1.027877099
490	1.027557364
491	1.027244559
492	1.026973745
493	1.026730182
494	1.026407295
495	1.026181042
496	1.025877375
497	1.025542039
498	1.025283509
499	1.024960165
500	1.02467037
501	1.024397554
502	1.024132433
503	1.023865891
504	1.023606159
505	1.023329952
506	1.023155778
507	1.022892543
508	1.022579873
509	1.022320652
510	1.022063789
511	1.021810143
512	1.021465687
513	1.021220264
514	1.020967234
515	1.020702233
516	1.020489577
517	1.02021282
518	1.01994864
519	1.019753385
520	1.019474436
521	1.019195421
522	1.018886968
523	1.018689058
524	1.018402346
525	1.018158499
526	1.017907589
527	1.017603433
528	1.017321604
529	1.017044529
530	1.016808112
531	1.01659863
532	1.016306675
533	1.016059731
534	1.015871645
535	1.015664463
536	1.015441421
537	1.015241032
538	1.014986865
539	1.014717074
540	1.014509846
541	1.014284249
542	1.014043947
543	1.01383169
544	1.013613147
545	1.013400034
546	1.013184196
547	1.013031122
548	1.012846745
549	1.01259849
550	1.012405857
551	1.01213937
552	1.011942369
553	1.011766864
554	1.011558087
555	1.011320173
556	1.0111014
557	1.010924734
558	1.010704312
559	1.010489087
560	1.010241578
561	1.010076222
562	1.009881228
563	1.009651585
564	1.009446885
565	1.009266241
566	1.009073694
567	1.008899918
568	1.008683356
569	1.008483677
570	1.008287471
571	1.008107583
572	1.007905379
573	1.007723309
574	1.007550526
575	1.007369353
576	1.00716201
577	1.006967697
578	1.006780629
579	1.0066126
580	1.006397853
581	1.006225493
582	1.006060685
583	1.005901702
584	1.005711909
585	1.005541876
586	1.005363385
587	1.005161187
588	1.004987243
589	1.004803972
590	1.004598037
591	1.004366797
592	1.004214536
593	1.004057758
594	1.003881456
595	1.003658937
596	1.003483396
597	1.003312799
598	1.003185967
599	1.003037553
600	1.002925541
601	1.002766866
602	1.002601514
603	1.00243022
604	1.00225219
605	1.002075019
606	1.001928387
607	1.001752163
608	1.001552764
609	1.001385933
610	1.001239221
611	1.001102733
612	1.000976851
613	1.000784937
614	1.000644469
615	1.000493362
616	1.000324066
617	1.000137648
618	0.999988575
619	0.9998267197
620	0.9996561396
621	0.9995284701
622	0.99941107
623	0.9992781095
624	0.9991538659
625	0.9989989197
626	0.9988588162
627	0.9987051053
628	0.9985464799
629	0.9983382351
630	0.9981820513
631	0.998040017
632	0.9978685883
633	0.9977562862
634	0.9976228013
635	0.9975083314
636	0.9973789932
637	0.9972225016
638	0.9970714188
639	0.996917474
640	0.9967874618
641	0.9966314826
642	0.9964826884
643	0.9963805765
644	0.9962048019
645	0.9960598144
646	0.9959128271
647	0.9957801754
648	0.9956388533
649	0.9955348137
650	0.9954214379
651	0.9952979845
652	0.9952045694
653	0.995061825
654	0.9949250628
655	0.9947766697
656	0.9946512305
657	0.9945026269
658	0.9943370703
659	0.9941879668
660	0.9940861567
661	0.9939708537
662	0.9938491711
663	0.993718631
664	0.9935773521
665	0.9934188492
666	0.9932820161
667	0.9931348914
668	0.9930161346
669	0.9928749613
670	0.9927462061
671	0.99260355
672	0.9924488743
673	0.9923344765
674	0.9922307111
675	0.9921061344
676	0.9919559634
677	0.9918394259
678	0.9917116963
679	0.9915863994
680	0.9914546504
681	0.9913392372
682	0.9911832477
683	0.9910694934
684	0.9909286816
685	0.9907997174
686	0.9906462908
687	0.9905007191
688	0.9903855389
689	0.9902714903
690	0.9901486423
691	0.9900450676
692	0.9899546906
693	0.9898636233
694	0.9897506064
695	0.9896270254
696	0.9894916999
697	0.9893768811
698	0.9892435458
699	0.9891352854
700	0.989001556
701	0.9888854562
702	0.9887704768
703	0.9886360603
704	0.9885262107
705	0.9884193121
706	0.9883278581
707	0.9882138282
708	0.9880696974
709	0.987943097
710	0.9878352418
711	0.9877399102
712	0.9876200831
713	0.9875114185
714	0.9873931287
715	0.9872405879
716	0.9870912385
717	0.9869754484
718	0.9868716947
719	0.9867692131
720	0.9866510375
721	0.9865300909
722	0.9863918628
723	0.9862782177
724	0.986151969
725	0.9860032107
726	0.9858840828
727	0.9857948308
728	0.9857162645
729	0.9856214685
730	0.9855041564
731	0.9854004465
732	0.9852970495
733	0.9851460296
734	0.9850432267
735	0.9849352304
736	0.9848248986
737	0.9847248466
738	0.9846226058
739	0.9845343584
740	0.9844266682
741	0.9843670678
742	0.9842681976
743	0.9841661454
744	0.9840335182
745	0.9839323646
746	0.9838144262
747	0.9837039059
748	0.9835900561
749	0.9834507612
750	0.9833753064
751	0.9832610984
752	0.9831571687
753	0.983041769
754	0.9829326272
755	0.9828256935
756	0.9827247011
757	0.9826496565
758	0.982561682
759	0.9824752527
760	0.9823709242
761	0.9822819197
762	0.9821547367
763	0.9820454751
764	0.9819370997
765	0.9818158258
766	0.9816956106
767	0.9815846051
768	0.9814798683
769	0.9813939585
770	0.9812958486
771	0.9812016455
772	0.9810986615
773	0.9809843165
774	0.9808975982
775	0.9807962918
776	0.9807050063
777	0.9805804403
778	0.9804844447
779	0.9804124112
780	0.9803184416
781	0.980228625
782	0.9801534427
783	0.980026043
784	0.979899133
785	0.9797804571
786	0.9796858242
787	0.9795977642
788	0.979501819
789	0.9793942111
790	0.9793043563
791	0.9792209825
792	0.9791012235
793	0.9789727421
794	0.978885538
795	0.9787806417
796	0.9786660476
797	0.9785424663
798	0.9784211588
799	0.9783378589
800	0.9782525664
801	0.9781566103
802	0.9780237336
803	0.977929083
804	0.9778596916
805	0.9777707168
806	0.9776757554
807	0.977576181
808	0.9775036437
809	0.9774056289
810	0.9773006849
811	0.9772061123
812	0.9771228814
813	0.9770343143
814	0.9769368109
815	0.9768509877
816	0.9767488639
817	0.9766468536
818	0.9765312096
819	0.9764434414
820	0.9763711163
821	0.9762732284
822	0.9761521237
823	0.9760394428
824	0.9759295959
825	0.9758314135
826	0.9757581705
827	0.9756692041
828	0.9755494103
829	0.975461428
830	0.9753690982
831	0.9752624688
832	0.9751380209
833	0.9750369019
834	0.9749505678
835	0.9748559379
836	0.9747535897
837	0.9746755706
838	0.9745664018
839	0.9744860122
840	0.9744013122
841	0.9742673237
842	0.9741995842
843	0.9741083561
844	0.9739978997
845	0.9738963056
846	0.9738145253
847	0.9737085895
848	0.9736159025
849	0.9735005033
850	0.9733786911
851	0.9732905218
852	0.9731932305
853	0.9730804718
854	0.9729514937
855	0.9728524237
856	0.9727773518
857	0.9726602687
858	0.9725990986
859	0.972513783
860	0.9724403077
861	0.9723393058
862	0.9722125323
863	0.9721094157
864	0.9720031395
865	0.9719001408
866	0.9718121098
867	0.9717234556
868	0.9716410718
869	0.9715244073
870	0.9714312272
871	0.9713664092
872	0.9712749642
873	0.9711972919
874	0.9710903104
875	0.9709941784
876	0.9708842937
877	0.9707790694
878	0.9706905153
879	0.9706014713
880	0.9705233559
881	0.9704590439
882	0.9703709349
883	0.9702887207
884	0.9701936329
885	0.9700919087
886	0.9700168787
887	0.969924944
888	0.969822351
889	0.9697353894
890	0.9696249244
891	0.9695034601
892	0.9694084646
893	0.969304574
894	0.969230522
895	0.9691513238
896	0.9690424426
897	0.9689282289
898	0.9688579935
899	0.9687575315
900	0.968696379
901	0.9685932006
902	0.9684926898
903	0.9684218932
904	0.9683439898
905	0.9682504627
906	0.9681308276
907	0.9680424763
908	0.9679098297
909	0.9677739231
910	0.9676871307
911	0.9676317838
912	0.9675402122
913	0.9674600622
914	0.967381427
915	0.9673047442
916	0.9672173451
917	0.9671359717
918	0.9670490351
919	0.9669727553
920	0.9668692181
921	0.9667927763
922	0.9667099482
923	0.9665975193
924	0.9664787787
925	0.9663933959
926	0.9663167423
927	0.966217373
928	0.9661323633
929	0.966016634
930	0.9659149043
931	0.9658383122
932	0.9657565243
933	0.9656626547
934	0.9655832818
935	0.9654898355
936	0.9654021371
937	0.9653229947
938	0.9652495176
939	0.965154476
940	0.9650691045
941	0.9649783156
942	0.9648961081
943	0.9647980083
944	0.9647059129
945	0.9646071299
946	0.9645177075
947	0.9644360753
948	0.9643737575
949	0.9642833061
950	0.9641954684
951	0.9641154999
952	0.9640416065
953	0.9639271554
954	0.9638141329
955	0.963716315
956	0.9636143364
957	0.9634990556
958	0.9634332824
959	0.9633575093
960	0.963273777
961	0.9631899368
962	0.9630896415
963	0.9630192791
964	0.9629441997
965	0.9628783049
966	0.9627671472
967	0.9626989596
968	0.9626099175
969	0.9625076868
970	0.9624329168
971	0.9623523361
972	0.9622694654
973	0.962174016
974	0.9620796912
975	0.9619969606
976	0.9619112948
977	0.9618181666
978	0.9617517733
979	0.9616770864
980	0.9615975161
981	0.9615017605
982	0.9613897752
983	0.9612886688
984	0.9612082589
985	0.9611069608
986	0.961043261
987	0.9609668266
988	0.960883532
989	0.9607900815
990	0.9606724606
991	0.9605464543
992	0.960444108
993	0.960335365
994	0.9602618492
995	0.9601450202
996	0.9600468788
997	0.9599113807
998	0.9598246977
999	0.9597551933
