iter	TotalF1	Logloss
65	0.7163111106	0.5351249684
66	0.7162752837	0.5347871103
67	0.7163609514	0.5344492385
68	0.7162908652	0.5341599073
69	0.7163419255	0.5338846543
70	0.7164775161	0.5335482091
71	0.7166594725	0.5332220435
72	0.7165993433	0.5329245345
73	0.7167836213	0.532580982
74	0.716951931	0.5322971237
75	0.7171141863	0.5320256469
76	0.717204739	0.5317630058
77	0.7172902951	0.5315470974
78	0.7175134471	0.5312357598
79	0.7176553743	0.5308522181
80	0.7178789903	0.5304721081
81	0.7179726128	0.5302709177
82	0.718115196	0.5299560988
83	0.718338485	0.5296131016
84	0.7186531125	0.5292124019
85	0.7187542598	0.5290267614
86	0.7187820894	0.5288212117
87	0.7189660514	0.5285082477
88	0.7192006184	0.5282053269
89	0.7193613915	0.5280319079
90	0.7194402299	0.5278067919
91	0.7195961789	0.5276016963
92	0.7196193187	0.5274170234
93	0.7195829638	0.5272553815
94	0.7198675698	0.52698833
95	0.7200264784	0.5267547016
96	0.7201505609	0.5265484802
97	0.720138611	0.526332487
98	0.7203605195	0.5261491972
99	0.7205199617	0.5259036999
100	0.7206128633	0.5257646119
101	0.7206456399	0.5255990866
102	0.7207642091	0.525458514
103	0.720843955	0.525281606
104	0.7209496673	0.5250782063
105	0.7212104453	0.5248543028
106	0.7212665402	0.5245960661
107	0.721594041	0.5243483791
108	0.7215314095	0.5242144548
109	0.7215273983	0.5240662738
110	0.7215917746	0.5239428815
111	0.7216805738	0.5238391832
112	0.7217929847	0.5237011523
113	0.7219556274	0.5235721551
114	0.7220331069	0.523450043
115	0.7221205112	0.5232958059
116	0.7222530316	0.5231263831
117	0.7223762651	0.5229942393
118	0.7224442183	0.5228133254
119	0.7225983252	0.5226925888
120	0.7226945032	0.5224942823
121	0.7228487063	0.5223057533
122	0.7229286098	0.5221843343
123	0.7230314815	0.5220425983
124	0.7231501827	0.5218911894
125	0.7232198046	0.5217717871
126	0.7232737448	0.5216871904
127	0.7233299375	0.5215193201
128	0.7234995905	0.5213694962
129	0.7235662894	0.5212675188
130	0.7236362265	0.5211603006
131	0.7238008668	0.5209913325
132	0.723808583	0.5209124308
133	0.7238389138	0.5208329484
134	0.7240082225	0.520654054
135	0.7240812077	0.5204681494
136	0.7242169389	0.5203572175
137	0.7242392389	0.520282361
138	0.7242813491	0.5201904747
139	0.7243157593	0.5200905179
140	0.7244843566	0.5200007236
141	0.7245333578	0.5199208619
142	0.7245718431	0.519848937
143	0.7245809203	0.519777996
144	0.7247218067	0.5196301171
145	0.7248001602	0.5195521527
146	0.7249317002	0.5194554519
147	0.7250071018	0.5193551856
148	0.725125123	0.5192945915
149	0.7251845071	0.5192012873
150	0.7252310792	0.5190775409
151	0.7253498725	0.5189976284
152	0.7253984392	0.5189363313
153	0.7255463282	0.5187978407
154	0.7255738489	0.5186433996
155	0.7256299188	0.5185795589
156	0.7257461153	0.518422747
157	0.7259100335	0.518302114
158	0.7259842052	0.518219679
159	0.7259671382	0.5181340868
160	0.7260120363	0.5180794058
161	0.7260951108	0.5179289021
162	0.7261997995	0.5178571603
163	0.7262110556	0.5178070664
164	0.7263096919	0.5176951918
165	0.7264099478	0.5175593173
166	0.7264244867	0.5175056594
167	0.7264987853	0.5174549199
168	0.7265709706	0.517404744
169	0.7264893624	0.5173461722
170	0.726528387	0.5172871082
171	0.7266280305	0.5171754693
172	0.7266433481	0.5171147515
173	0.7267555109	0.5170644225
174	0.7268358551	0.5170059484
175	0.726822396	0.5169251504
176	0.7269157664	0.5168694523
177	0.7269579294	0.5168261793
178	0.7270301792	0.5167258964
179	0.7271042308	0.5166649725
180	0.7272596231	0.5165682547
181	0.7272551769	0.5164770569
182	0.7273314133	0.5163929268
183	0.727363108	0.5163534585
184	0.7274743428	0.5162835637
185	0.7275162738	0.5161868128
186	0.7275727506	0.5161351982
187	0.7275957987	0.5160876452
188	0.7276450615	0.5160233635
189	0.7276858222	0.5159842909
190	0.7277614184	0.5159315046
191	0.7277938608	0.5158964749
192	0.727878116	0.5158493187
193	0.7280028036	0.5157511434
194	0.7280936821	0.515708368
195	0.7280946904	0.5156649473
196	0.7281531855	0.515632436
197	0.7281410744	0.5155982091
198	0.7281747645	0.5155608708
199	0.72821997	0.5154935362
200	0.7282183878	0.5154567008
201	0.7282801826	0.5154085847
202	0.7282476366	0.5153592421
203	0.7282353166	0.5153098977
204	0.7282978874	0.5152705295
205	0.7283711972	0.5151883416
206	0.7285000976	0.5151305328
207	0.7285074776	0.5150783452
208	0.7285909993	0.5150389335
209	0.7286402744	0.5150037457
210	0.7286977609	0.5149108228
211	0.7287909462	0.5148635127
212	0.7287983182	0.5148360059
213	0.7288077525	0.5147693831
214	0.7288544521	0.5147004151
215	0.7288875804	0.5146634388
216	0.7289381269	0.5146038804
217	0.7290182965	0.5145710833
218	0.7290223604	0.5144845308
219	0.7290354161	0.5144368776
220	0.7290279914	0.5144140961
