iter	TotalF1	Logloss
0	0.6881067008	0.6841402586
1	0.6917459171	0.6753432012
2	0.693817347	0.6674412537
3	0.6914436041	0.6597345235
4	0.692743929	0.6527436593
5	0.6949595396	0.6463657728
6	0.6965238484	0.6400462969
7	0.6974882424	0.6343903177
8	0.6975795456	0.6293161002
9	0.6976989491	0.624035666
10	0.6976693985	0.6193910233
11	0.6981542648	0.6150101892
12	0.6993299166	0.6110651621
13	0.6988574202	0.607190351
14	0.6992957335	0.603601345
15	0.6989687046	0.6003390395
16	0.6991282718	0.5969738518
17	0.7001164401	0.5939069801
18	0.7003311376	0.5911031311
19	0.7011396947	0.587963459
20	0.7022145041	0.5848374317
21	0.7035258317	0.58222413
22	0.7041543395	0.5796238413
23	0.7050361703	0.577035959
24	0.7053294349	0.5746353638
25	0.7063807384	0.5724782444
26	0.7070685059	0.5705101899
27	0.7079799199	0.5683067396
28	0.7085472416	0.5665078379
29	0.7089596708	0.5647624335
30	0.7089105444	0.5630975983
31	0.7093915992	0.5614924021
32	0.7099214571	0.5599699195
33	0.7101668837	0.5586713803
34	0.7103370058	0.5573490334
35	0.7107577886	0.5561880492
36	0.7108553879	0.554974736
37	0.7110949285	0.5539175156
38	0.7112418992	0.5527591159
39	0.7113876268	0.5517261673
40	0.7116363471	0.550709402
41	0.7117701625	0.5497933603
42	0.7120280672	0.5488387954
43	0.7121886075	0.5480148357
44	0.7123578899	0.5471741162
45	0.7124935357	0.5464463324
46	0.7125347663	0.5456579861
47	0.7125947592	0.5449087212
48	0.7128426617	0.5442257642
49	0.7131041557	0.5436054848
50	0.7131452627	0.5429866525
51	0.7131143834	0.5424564703
52	0.7130813396	0.5419060219
53	0.713353854	0.5413425897
54	0.7134427766	0.5408095505
55	0.7137479136	0.5403514001
56	0.7138437451	0.5397884093
57	0.7138471052	0.5393337128
58	0.7140746339	0.538910987
59	0.7141420027	0.5384664472
60	0.7143267712	0.5379731491
61	0.7145149501	0.5375997551
62	0.7146012082	0.5371687012
63	0.7147156895	0.5368313002
64	0.7148316963	0.5364936754
65	0.7151250156	0.5360284853
66	0.7151246811	0.5356360173
67	0.7152898231	0.535220411
68	0.7153930965	0.5349228626
69	0.7155159642	0.5345926204
70	0.715616074	0.534269296
71	0.7157137772	0.5339589949
72	0.7158644222	0.5335324517
73	0.7160571795	0.5332477566
74	0.7161768277	0.5329486306
75	0.716223388	0.5326527308
76	0.7163965644	0.5322495565
77	0.7166022038	0.531868534
78	0.7167785805	0.5314480184
79	0.7169047559	0.5311818853
80	0.717103726	0.5309195218
81	0.7172094609	0.5306987245
82	0.7172077493	0.5304273513
83	0.717500319	0.530159784
84	0.7175844055	0.5299517615
85	0.717689974	0.5297467574
86	0.7179994043	0.5294695596
87	0.7181195005	0.5291170754
88	0.7183327235	0.528844605
89	0.7184239029	0.5286273059
90	0.7185694948	0.5284712627
91	0.7188701623	0.5282357823
92	0.7188789388	0.5279598777
93	0.7190787774	0.5276012912
94	0.7193089732	0.5273439886
95	0.7195089046	0.527079778
96	0.7195902623	0.5268772278
97	0.7195828631	0.5267205151
98	0.7197487237	0.526523964
99	0.7197986707	0.5263826508
100	0.7199899776	0.5260841212
101	0.7200245544	0.5259124321
102	0.7201587839	0.5257766046
103	0.7202474383	0.5256066792
104	0.7204259037	0.5254122413
105	0.7206089858	0.5252474826
106	0.7207562415	0.5249236866
107	0.7208920689	0.5247797728
108	0.721076959	0.5245973499
109	0.7211762756	0.5244662899
110	0.7211777381	0.5243710329
111	0.7213264458	0.5241413746
112	0.7213836941	0.5240162046
113	0.7214853886	0.5238853034
114	0.721461331	0.5237954751
115	0.7216337333	0.5236054584
116	0.7218357302	0.5233647828
117	0.7219586361	0.5231498491
118	0.7220565179	0.5230451044
119	0.7221700779	0.5228374865
120	0.7222669128	0.5227110265
121	0.7223913266	0.5224577882
122	0.7224859688	0.5223324308
123	0.7226000239	0.522224549
124	0.7225905642	0.5221202868
125	0.7226757221	0.5220131943
126	0.7228857433	0.521822804
127	0.7229131177	0.5216953001
128	0.7231489786	0.5215151251
129	0.7232094874	0.5214054059
130	0.7232113806	0.5212807678
131	0.7232707952	0.5211774117
132	0.7235018218	0.5209998397
133	0.7235715743	0.5208823922
134	0.7235869914	0.5207857582
135	0.7237056384	0.5206159688
136	0.723729001	0.52052326
137	0.7237777201	0.5203933619
138	0.7238448835	0.5203082533
139	0.723960896	0.5201894639
140	0.7240254168	0.5200930915
141	0.7241605811	0.5199540575
142	0.7242571545	0.5198872146
143	0.7243183995	0.5197620534
144	0.7243984089	0.5196716398
145	0.7244872393	0.5195936612
146	0.7245150651	0.5195039301
147	0.7245215217	0.5194399483
148	0.7245566157	0.5193609682
149	0.7246769185	0.5192050123
150	0.7246633032	0.5191473356
151	0.7247504679	0.5190662655
152	0.7249018473	0.5189786249
153	0.7249998939	0.5189162151
154	0.7251002481	0.5187530852
155	0.7252318285	0.5186819552
156	0.7252090472	0.51860993
157	0.7253528967	0.518497974
158	0.7253764234	0.5183865271
159	0.7254724458	0.5183138333
160	0.7256189363	0.5181505308
161	0.7256637537	0.5180176699
162	0.7257170991	0.5179090164
163	0.7258007299	0.5178397922
164	0.7258324644	0.5177858847
165	0.7258503984	0.5177326006
166	0.7258963587	0.5176745339
167	0.7258578407	0.5176257329
168	0.725863682	0.5175569631
169	0.7260240364	0.5175059311
170	0.7260400858	0.5174639013
171	0.726119965	0.5173544417
172	0.7261961852	0.5172472359
173	0.7262214475	0.5171964401
174	0.7262446899	0.5170899984
175	0.7263615531	0.5170325218
176	0.7264116474	0.516985244
