iter	Passed	Remaining
0	219	219655
1	436	217789
2	623	207135
3	818	203737
4	1004	199833
5	1194	197842
6	1407	199608
7	1586	196776
8	1760	193860
9	1959	193942
10	2149	193220
11	2346	193224
12	2533	192368
13	2720	191600
14	2913	191314
15	3100	190664
16	3279	189633
17	3453	188431
18	3627	187289
19	3821	187264
20	4012	187066
21	4192	186367
22	4382	186160
23	4564	185627
24	4748	185182
25	4932	184764
26	5115	184348
27	5296	183874
28	5476	183374
29	5656	182907
30	5853	182959
31	6031	182439
32	6209	181961
33	6394	181668
34	6583	181528
35	6767	181222
36	6943	180721
37	7126	180408
38	7314	180242
39	7497	179930
40	7674	179517
41	7853	179132
42	8041	178979
43	8224	178690
44	8404	178369
45	8578	177917
46	8766	177749
47	8945	177409
48	9146	177519
49	9343	177529
50	9544	177600
51	9745	177666
52	9928	177406
53	10110	177121
54	10295	176900
55	10479	176654
56	10669	176508
57	10846	176160
58	11042	176121
59	11230	175949
60	11411	175663
61	11606	175588
62	11796	175452
63	11987	175316
64	12176	175154
65	12372	175086
66	12555	174840
67	12755	174823
68	12946	174682
69	13135	174518
70	13311	174173
71	13498	173985
72	13675	173665
73	13867	173532
74	14046	173239
75	14211	172787
76	14415	172802
77	14594	172515
78	14783	172353
79	14966	172114
80	15137	171745
81	15326	171578
82	15529	171577
83	15748	171729
84	15948	171683
85	16149	171633
86	16352	171610
87	16536	171376
88	16728	171229
89	16927	171157
90	17131	171125
91	17333	171072
92	17541	171078
93	17746	171043
94	17935	170856
95	18131	170734
96	18319	170543
97	18519	170452
98	18709	170272
99	18904	170142
100	19115	170148
101	19313	170032
102	19508	169893
103	19705	169773
104	19884	169493
105	20087	169419
106	20259	169082
107	20466	169035
108	20654	168838
109	20835	168579
110	21017	168328
111	21220	168247
112	21416	168108
113	21603	167898
114	21785	167652
115	21987	167557
116	22178	167381
117	22364	167166
118	22555	166989
119	22735	166730
120	22928	166565
121	23087	166156
122	23279	165986
123	23480	165878
124	23665	165661
125	23864	165533
126	24061	165396
127	24274	165368
128	24433	164975
129	24633	164855
130	24827	164692
131	25023	164547
132	25222	164420
133	25417	164267
134	25610	164093
135	25818	164025
136	26015	163880
137	26230	163843
138	26429	163708
139	26607	163443
140	26796	163252
141	27002	163158
142	27206	163050
143	27414	162965
144	27593	162705
145	27794	162578
146	27992	162434
147	28195	162315
148	28398	162195
149	28605	162099
150	28804	161953
151	28976	161657
152	29168	161476
153	29371	161350
154	29556	161129
155	29751	160965
156	29948	160804
157	30148	160664
158	30327	160411
159	30531	160291
160	30716	160070
161	30894	159812
162	31082	159606
163	31278	159442
164	31473	159274
165	31683	159179
