iter	Passed	Remaining
0	675	675072
1	1332	665111
2	2074	689533
3	2668	664370
4	3331	663041
5	3935	652037
6	4544	644669
7	5159	639758
8	5808	639561
9	6432	636830
10	7046	633506
11	7689	633105
12	8294	629772
13	8884	625734
14	9398	617172
15	10037	617315
16	10660	616421
17	11286	615720
18	11896	614227
19	12495	612300
20	13129	612091
21	13724	610115
22	14326	608547
23	14931	607221
24	15559	606839
25	16169	605740
26	16750	603638
27	17377	603237
28	18012	603109
29	18641	602756
30	19262	602103
31	19891	601724
32	20501	600759
33	21048	598025
34	21684	597859
35	22200	594479
36	22820	593942
37	23468	594128
38	24107	594026
39	24730	593537
40	25350	592954
41	26038	593915
42	26781	596036
43	27533	598226
44	28236	599232
45	28879	598926
46	29546	599107
47	30214	599248
48	30791	597605
49	31454	597630
50	32001	595472
51	32633	594939
52	33256	594225
53	33853	593062
54	34420	591400
55	35011	590199
56	35682	590330
57	36391	591046
58	37009	590272
59	37685	590412
60	38202	588064
61	38743	586148
62	39339	585100
63	40025	585375
64	40694	585381
65	41347	585130
66	41984	584649
67	42693	585149
68	43368	585164
69	44021	584859
70	44651	584239
71	45309	583983
72	45946	583451
73	46568	582729
74	47216	582331
75	47859	581867
76	48548	581948
77	49229	581916
78	49905	581811
79	50620	582138
80	51265	581642
81	51937	581442
82	52579	580905
83	53308	581318
84	53965	580919
85	54626	580563
86	55233	579639
87	55895	579285
88	56553	578883
89	57254	578905
90	57927	578635
91	58512	577496
92	59087	576266
93	59763	576017
94	60473	576094
95	61147	575801
96	61777	575104
97	62506	575316
98	63176	574970
99	63873	574860
100	64534	574424
101	65265	574590
102	65967	574492
103	66665	574345
104	67268	573385
105	67975	573305
106	68671	573122
107	69344	572734
108	70059	572684
109	70739	572346
110	71464	572357
111	72109	571725
112	72766	571186
113	73440	570773
114	74049	569859
115	74643	568831
116	75283	568161
117	75962	567785
118	76668	567601
119	77294	566822
120	77942	566210
121	78620	565809
122	79251	565070
123	79870	564246
124	80566	563967
125	81229	563447
126	81815	562401
127	82539	562300
128	83238	562023
129	83917	561604
130	84593	561159
131	85341	561184
132	85933	560185
133	86608	559721
134	87232	558931
135	87855	558141
136	88511	557556
137	89278	557667
138	89902	556880
139	90546	556211
140	91217	555713
141	91880	555162
142	92518	554465
143	93107	553473
144	93836	553309
145	94446	552445
146	95143	552090
147	95882	551970
148	96506	551189
149	97110	550294
150	97766	549695
151	98471	549365
152	99141	548843
153	99854	548551
154	100436	547542
155	101076	546849
156	101719	546175
157	102377	545583
158	103010	544855
159	103178	541688
160	103905	541471
161	104567	540909
162	105313	540780
163	105953	540106
164	106626	539594
165	107293	539052
166	107995	538684
167	108279	536242
168	108916	535559
169	109597	535093
170	110234	534410
171	110870	533723
172	111636	533663
173	112451	533819
174	113174	533536
175	113946	533475
176	114164	530834
177	114822	530248
178	115405	529318
179	116087	528842
180	116771	528375
181	117508	528144
182	118192	527669
183	118852	527082
184	119503	526463
185	120162	525872
186	120799	525188
187	121461	524611
188	122167	524222
189	122826	523630
190	123499	523096
191	124173	522564
192	124788	521784
193	125461	521247
194	126096	520550
195	126770	520015
196	127425	519405
197	128049	518664
198	128738	518189
199	129366	517465
200	130046	516951
201	130661	516176
202	131337	515646
203	132069	515330
204	132752	514819
205	133404	514191
206	133963	513202
207	134639	512665
208	135331	512188
209	135985	511563
210	136676	511078
211	137339	510489
212	138070	510147
213	138770	509690
214	139448	509149
215	140019	508218
216	140662	507552
217	141301	506870
218	141916	506103
219	142535	505354
220	143209	504797
221	143827	504045
222	144524	503567
223	145132	502779
224	145766	502085
225	146416	501442
226	147048	500743
227	147747	500267
228	148392	499608
229	149023	498905
230	149581	497955
231	150132	496991
232	150793	496388
233	151522	496008
234	152188	495420
235	152883	494928
236	153546	494328
237	154151	493543
238	154796	492886
239	155548	492571
240	156125	491699
241	156843	491269
242	157507	490670
243	158166	490057
244	158772	489279
245	159429	488658
246	160107	488100
247	160643	487112
248	161246	486330
249	161921	485764
250	162568	485115
251	163218	484473
252	163779	483569
253	164350	482700
254	165001	482062
