iter	F1	Logloss
155	0.5545084928	0.5259336907
156	0.5545080039	0.5258910015
157	0.5546375245	0.5258415122
158	0.5547040398	0.5258129185
159	0.5546953026	0.5258070816
160	0.5545866126	0.5257672402
161	0.5546747657	0.5257380285
162	0.5547569338	0.5257139875
163	0.5547308532	0.5256736706
164	0.5547317564	0.5256527665
165	0.5548937925	0.5256158501
166	0.5549845329	0.5255888817
167	0.5550716389	0.5255807949
168	0.5551371883	0.5255543061
169	0.5551656599	0.5255031931
170	0.5551972686	0.5254783821
171	0.5552898491	0.5254378439
172	0.5553525999	0.5253998177
173	0.5556004253	0.5253660387
174	0.5557199313	0.5253234422
175	0.5558169525	0.5252921374
176	0.5558119221	0.5252865107
177	0.5559719934	0.5252557731
178	0.5561631201	0.5252293121
179	0.5560963157	0.5251916535
180	0.5560785186	0.5251714168
181	0.5560117447	0.5251249405
182	0.5561215456	0.5251022198
183	0.5560890836	0.5250725346
184	0.5562367978	0.5250369809
185	0.5564176549	0.5249909883
186	0.5564935359	0.5249598262
187	0.5565017678	0.5249372621
188	0.5565890962	0.5248995444
189	0.5566036183	0.5248729319
190	0.5566071899	0.5248558194
191	0.556574848	0.5248209958
192	0.5567420978	0.5247916898
193	0.5567712813	0.5247634224
194	0.5567872279	0.5247444809
195	0.5567849369	0.5247197387
196	0.5569383817	0.5246613195
197	0.5570168041	0.5246435802
198	0.5571332204	0.5245982352
199	0.5571359235	0.5245750445
200	0.5572277635	0.5245480199
201	0.5571836409	0.5244966451
202	0.5573124481	0.5244510186
203	0.557222485	0.5244322312
204	0.5573353737	0.5244154845
205	0.5573075863	0.5243842719
206	0.5573342986	0.5243568045
207	0.5577057512	0.5243216269
208	0.5577208558	0.524298268
209	0.5576948383	0.5242505874
210	0.557764108	0.5242322316
211	0.5577648945	0.5242138828
212	0.5576700083	0.5241908534
213	0.557749629	0.5241726963
214	0.5578071874	0.5241566408
215	0.5578693808	0.5241372531
216	0.5579123915	0.5240985022
217	0.5579940397	0.5240779723
218	0.5580148875	0.5240407487
219	0.5581208032	0.5240123646
220	0.5581575001	0.5239966303
221	0.5580349804	0.5239664911
222	0.5581307428	0.5239553182
223	0.5582062441	0.5239107507
224	0.5582083419	0.5238853163
225	0.5581978295	0.5238655398
226	0.558197634	0.5238479645
227	0.5583785538	0.5238309878
228	0.558493728	0.5238133343
229	0.5584753768	0.5237936718
230	0.5584755927	0.5237788246
231	0.5587673657	0.5237615873
232	0.5588839073	0.5237230444
233	0.5590110039	0.5236971844
234	0.559076769	0.5236716295
235	0.5590380235	0.5236474826
236	0.5590918605	0.5236275756
237	0.5589657295	0.5236082898
238	0.5591727025	0.5235895073
239	0.5592199222	0.5235683529
240	0.5592436509	0.5235521233
241	0.5592604143	0.5235356314
242	0.5591304312	0.5235036506
243	0.5592282884	0.5234776134
244	0.5592709906	0.5234608393
245	0.5593296841	0.5234376402
246	0.5594380921	0.5234192984
247	0.5593366376	0.5234007837
248	0.5593826664	0.5233790787
249	0.5595639442	0.5233455584
250	0.5596236969	0.5233187856
251	0.5597070618	0.523300177
252	0.559715599	0.5232508952
253	0.5599281649	0.5232286255
254	0.5599025814	0.5232173307
