iter	TotalF1	Logloss
0	0.6897872482	0.6840824548
1	0.69279644	0.6752325397
2	0.6979831126	0.6672853372
3	0.6981244378	0.6597176343
4	0.6994289248	0.6527888527
5	0.6931557127	0.6460669003
6	0.6919297382	0.6398872282
7	0.697945195	0.6341375423
8	0.6929482243	0.6286706913
9	0.6969614384	0.6237969246
10	0.698803655	0.6190755684
11	0.6989080421	0.6148768546
12	0.6973550392	0.6107702312
13	0.6980036838	0.6068456077
14	0.699178962	0.6031751546
15	0.7009096177	0.5991853408
16	0.7035241001	0.5956287051
17	0.7054883066	0.592038658
18	0.7062096092	0.5888166241
19	0.7068023424	0.5857736425
20	0.706919616	0.5828631273
21	0.7071939131	0.5800320503
22	0.7077581833	0.5775389611
23	0.7081683618	0.5753325304
24	0.7087618976	0.5731275338
25	0.7089988999	0.5710500006
26	0.7095516399	0.5690902213
27	0.7098097793	0.5671523119
28	0.710042517	0.5654089282
29	0.7102437728	0.5638176011
30	0.7102799615	0.5621601416
31	0.7107988542	0.5606613293
32	0.7111111698	0.5592030633
33	0.7112005522	0.5578421952
34	0.7112881518	0.55643778
35	0.7115741864	0.5551801577
36	0.7116332381	0.5539676762
37	0.7120970419	0.5528669181
38	0.7121845208	0.5518712138
39	0.7121728812	0.5508371788
40	0.7121915409	0.5499015323
41	0.7124830756	0.548817037
42	0.7125755014	0.5480106956
43	0.7127785967	0.5470914694
44	0.7130278735	0.5462409625
45	0.7130441111	0.5454945159
46	0.7131946778	0.544824258
47	0.7132348811	0.5441866294
48	0.7133849057	0.5435285552
49	0.7134695944	0.5428873072
50	0.7134805386	0.5423234295
51	0.7138761317	0.5417048713
52	0.7139891238	0.5411495416
53	0.7141169402	0.5405616738
54	0.7143579426	0.5400073284
55	0.71425623	0.5396184635
56	0.7143477968	0.5391022728
57	0.7144772884	0.5386775998
58	0.7144974398	0.5382986776
59	0.7147419609	0.5378255116
60	0.7148222169	0.5374519576
61	0.7150235817	0.5369046035
62	0.7153900108	0.536384562
63	0.7155590197	0.5359963205
64	0.7154858039	0.5356272408
65	0.7156991683	0.5351911931
66	0.7158751309	0.5348885463
67	0.7157756594	0.5346042516
68	0.7160473953	0.5342161711
69	0.7161171868	0.5338786889
70	0.7161240485	0.5335432763
71	0.7162720626	0.5332083035
72	0.7164356637	0.5329112526
73	0.7166467302	0.5326315725
74	0.7166916984	0.5323453162
75	0.7167905512	0.5320416193
76	0.7168529639	0.5316720973
77	0.7169519311	0.5314369328
78	0.7170473987	0.5311006622
79	0.7173101614	0.5307490547
80	0.7174238144	0.5304408449
81	0.7176049888	0.5301002026
82	0.7177828012	0.5297291145
83	0.7180553929	0.5293916722
84	0.7182523267	0.5291028237
85	0.7183935567	0.5288370736
86	0.7185788142	0.5286342011
87	0.7187588932	0.5284153409
88	0.7189685328	0.5281268301
89	0.7190495334	0.5279075431
90	0.7192259632	0.5276572449
91	0.7193186485	0.5274501226
92	0.7193793015	0.5272656964
93	0.7195479239	0.5270960039
94	0.7197425279	0.5268108553
95	0.7198242776	0.5265814711
96	0.7198747305	0.5263640828
97	0.7201040239	0.5260997116
98	0.7201578938	0.5259492116
99	0.7204235079	0.5257738751
100	0.7204914804	0.525570371
101	0.7206849549	0.5254127512
102	0.7208675841	0.5252352548
103	0.7207960765	0.5251061562
104	0.7209467786	0.5248232476
105	0.7211689155	0.5245761193
106	0.7212848742	0.5243381729
107	0.7214789315	0.524130516
108	0.7215286563	0.5240073423
109	0.7217047801	0.5237976976
110	0.7217400389	0.5236743011
111	0.7218456536	0.5235372599
112	0.7219434711	0.5233586404
113	0.7220534854	0.5231963277
114	0.7222204819	0.5230270991
115	0.7222748895	0.522822828
116	0.7224074604	0.5227119109
117	0.722452378	0.5225569716
118	0.7225433175	0.5224311072
119	0.7226717828	0.5223301569
120	0.7227975781	0.5222238407
121	0.7229604923	0.5220096002
122	0.7230367105	0.5218627452
123	0.7231049521	0.5217704715
124	0.7232992023	0.5215504107
125	0.7233740608	0.5214304719
126	0.7235427235	0.5213163782
127	0.7235460337	0.5212366238
128	0.7235972053	0.5211044678
129	0.7237217607	0.5210266082
130	0.7237628323	0.5209018366
131	0.7238701935	0.5208036674
132	0.7239280793	0.5206909207
133	0.7239696771	0.5205390183
134	0.7240079031	0.5204587132
135	0.7241035171	0.5203683741
136	0.724113237	0.5202927847
137	0.7242414789	0.5201560554
138	0.724399869	0.5200540229
139	0.724443626	0.5199089939
140	0.7245168531	0.5198269012
141	0.7246288789	0.5197134505
