iter	Passed	Remaining
0	239	239680
1	455	227473
2	654	217520
3	877	218471
4	1068	212647
5	1256	208227
6	1459	207109
7	1663	206302
8	1845	203192
9	2047	202694
10	2241	201558
11	2437	200691
12	2614	198526
13	2791	196598
14	2965	194733
15	3142	193292
16	3329	192516
17	3504	191165
18	3688	190454
19	3865	189412
20	4038	188249
21	4222	187712
22	4411	187384
23	4595	186869
24	4784	186607
25	4959	185808
26	5144	185402
27	5320	184698
28	5494	183977
29	5679	183640
30	5864	183315
31	6047	182929
32	6223	182362
33	6407	182039
34	6595	181844
35	6786	181715
36	6992	182005
37	7193	182113
38	7387	182028
39	7572	181733
40	7761	181551
41	7951	181363
42	8145	181282
43	8325	180895
44	8515	180721
45	8701	180463
46	8890	180260
47	9088	180264
48	9279	180100
49	9457	179685
50	9645	179473
51	9834	179287
52	10021	179058
53	10205	178778
54	10388	178489
55	10578	178329
56	10777	178297
57	10961	178033
58	11147	177795
59	11332	177538
60	11516	177279
61	11702	177052
62	11878	176662
63	12063	176430
64	12266	176448
65	12453	176239
66	12626	175822
67	12811	175594
68	13000	175417
69	13199	175368
70	13396	175282
71	13585	175098
72	13769	174857
73	13961	174707
74	14148	174492
75	14346	174426
76	14545	174360
77	14729	174107
78	14928	174034
79	15121	173898
80	15305	173650
81	15501	173543
82	15694	173391
83	15884	173214
84	16064	172929
85	16235	172550
86	16428	172400
87	16627	172323
88	16818	172156
89	17010	171995
90	17199	171807
91	17356	171305
92	17541	171081
93	17721	170808
94	17918	170696
95	18099	170434
96	18281	170186
97	18464	169950
98	18662	169844
99	18846	169617
100	19034	169426
101	19218	169200
102	19401	168966
103	19582	168711
104	19720	168091
105	19919	167997
106	20112	167857
107	20315	167787
108	20521	167750
109	20714	167599
110	20904	167427
111	21089	167205
112	21268	166949
113	21469	166858
114	21639	166529
115	21835	166404
116	22038	166322
117	22234	166190
118	22428	166047
119	22615	165847
120	22810	165707
121	23012	165617
122	23203	165441
123	23394	165272
124	23597	165181
125	23792	165037
126	23997	164958
127	24186	164768
128	24383	164632
129	24592	164581
130	24775	164352
131	24977	164246
132	25184	164173
133	25339	163762
134	25543	163665
135	25733	163480
136	25923	163296
137	26120	163160
138	26316	163013
139	26519	162905
140	26726	162823
141	26931	162725
142	27119	162528
143	27319	162398
144	27526	162309
145	27727	162188
146	27908	161944
147	28114	161846
148	28311	161700
149	28514	161579
150	28692	161323
151	28895	161207
152	29098	161085
153	29296	160939
154	29504	160848
155	29695	160658
156	29890	160492
157	30100	160408
158	30324	160395
159	30508	160168
160	30714	160059
161	30895	159817
162	31078	159589
163	31298	159544
164	31498	159399
165	31704	159286
166	31905	159145
167	32114	159043
168	32310	158877
169	32512	158736
170	32706	158560
171	32900	158383
172	33093	158199
173	33282	157994
174	33485	157858
175	33682	157693
176	33888	157569
177	34077	157367
178	34272	157195
179	34472	157039
180	34674	156897
181	34894	156831
182	35086	156644
183	35290	156506
184	35483	156319
185	35684	156169
186	35871	155956
187	36069	155789
188	36265	155615
189	36458	155427
190	36615	155090
191	36832	155002
192	37033	154851
193	37231	154683
194	37425	154501
195	37619	154318
196	37813	154134
197	38023	154013
198	38218	153835
199	38430	153722
200	38624	153537
201	38788	153233
202	38967	152990
203	39148	152754
204	39335	152543
205	39526	152348
206	39718	152156
207	39918	151995
208	40113	151818
209	40309	151639
210	40503	151456
211	40719	151353
212	40936	151252
213	41138	151096
214	41343	150953
215	41540	150775
216	41711	150508
217	41922	150384
218	42123	150221
219	42317	150033
220	42514	149857
221	42707	149668
222	42907	149504
223	43099	149308
224	43283	149087
225	43467	148867
226	43664	148688
227	43882	148584
228	44068	148370
229	44263	148187
230	44465	148027
231	44662	147847
232	44859	147670
233	45051	147475
234	45240	147272
235	45427	147062
236	45624	146885
237	45820	146701
238	46018	146528
239	46220	146364
240	46414	146175
241	46610	145994
242	46820	145857
243	47035	145733
244	47232	145553
245	47412	145321
246	47608	145138
247	47800	144941
248	48008	144795
249	48213	144639
250	48408	144455
251	48597	144249
252	48789	144052
253	48991	143888
254	49199	143740
255	49393	143549
256	49585	143353
257	49780	143168
258	49975	142981
259	50168	142788
260	50373	142629
261	50556	142408
262	50747	142210
263	50947	142034
264	51139	141838
265	51341	141670
266	51521	141443
267	51721	141268
268	51925	141105
269	52116	140907
270	52315	140731
271	52519	140566
272	52704	140351
273	52905	140178
274	53100	139991
275	53294	139802
276	53475	139576
277	53679	139413
278	53879	139236
279	54068	139033
280	54262	138842
281	54458	138657
282	54646	138450
283	54843	138266
284	55042	138089
285	55245	137919
286	55442	137738
287	55649	137578
288	55849	137402
289	56052	137231
290	56259	137072
291	56469	136918
292	56655	136708
293	56864	136552
294	57067	136382
295	57274	136219
296	57465	136021
297	57676	135868
298	57883	135706
299	58104	135577
300	58310	135412
301	58520	135256
302	58712	135058
303	58892	134832
304	59108	134689
305	59321	134540
306	59532	134384
307	59745	134233
308	59946	134055
309	60150	133882
310	60345	133690
311	60549	133519
312	60761	133363
313	60974	133211
314	61149	132975
315	61358	132812
316	61551	132618
317	61761	132456
318	61975	132304
319	62189	132152
320	62402	131997
321	62629	131872
322	62862	131757
323	63067	131584
324	63280	131429
325	63490	131265
326	63699	131101
327	63930	130978
328	64156	130848
329	64374	130699
330	64590	130547
331	64787	130356
332	65028	130251
333	65233	130075
334	65445	129914
335	65694	129825
336	65940	129728
337	66193	129645
338	66387	129446
339	66591	129266
340	66801	129096
341	67005	128916
342	67202	128723
343	67399	128528
344	67596	128336
345	67778	128113
346	67965	127899
347	68162	127706
348	68362	127517
349	68546	127301
350	68769	127155
351	68970	126968
352	69193	126822
353	69395	126636
354	69593	126444
355	69779	126230
356	69974	126032
357	70168	125832
358	70361	125630
359	70555	125431
360	70720	125180
361	70927	125005
362	71121	124806
363	71283	124550
364	71468	124336
365	71661	124134
366	71846	123921
367	72047	123733
368	72216	123491
369	72405	123285
370	72613	123109
371	72806	122909
372	72999	122710
373	73181	122491
374	73376	122293
375	73583	122116
376	73782	121926
377	73989	121749
378	74198	121575
379	74390	121374
380	74591	121186
381	74786	120990
